#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
21,"Lenz CJ, Bick BL, Katzka D et al.. Esophagorespiratory fistulas: survival and outcomes of treatment. J Clin Gastroenterol. 2018;52(2). doi:10.1097/MCG.0000000000000751.",Esophagorespiratory fistulas: survival and outcomes of treatment,J Clin Gastroenterol,2018,52,2,,10.1097/MCG.0000000000000751,27824640,Lenz CJ; Bick BL; Katzka D; Nichols FC; Depew ZS; Wong K; Song LM; Baron TH; Buttar NS; Maldonado F; Enders FT; Harmsen WS; Dierkhising RA; Topazian MD
22,"Scappaticci E, Ardissone F, Baldi S et al.. Closure of an iatrogenic tracheo-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient. Ann Thorac Surg. 2004;77(1). doi:10.1016/s0003-4975(03)01379-1.",Closure of an iatrogenic tracheo-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient,Ann Thorac Surg,2004,77,1,,10.1016/s0003-4975(03)01379-1,,Scappaticci E; Ardissone F; Baldi S; Coni F; Revello F; Filosso PL; Ruffini E
23,"Cellier C, Landi B, Wind FA et al.. Upper gastrointestinal tract fistulae: endoscopic obliteration with fibrin sealant. Gastrointest Endosc. 1996;44(6). doi:10.1016/s0016-5107(96)70062-7.",Upper gastrointestinal tract fistulae: endoscopic obliteration with fibrin sealant,Gastrointest Endosc,1996,44,6,,10.1016/s0016-5107(96)70062-7,8979068,Cellier C; Landi B; Wind FA; Frileux P; Cugnenc P; Barbier PH; JP
24,"Wong AI, Mcdonald A, Jones B, Berkowitz D. Patch-and-Glue: novel technique in bronchoesophageal fistula repair and broncholith removal with stent and fibrin glue. J Bronchology Interv Pulmonol. 2021;28(3). doi:10.1097/LBR.0000000000000732.",Patch-and-Glue: novel technique in bronchoesophageal fistula repair and broncholith removal with stent and fibrin glue,J Bronchology Interv Pulmonol,2021,28,3,,10.1097/LBR.0000000000000732,33208602,Wong AI; Mcdonald A; Jones B; Berkowitz D
25,"Zhou C, Hu Y, Xiao Y, Yin W. Current treatment of tracheoesophageal fistula. Ther Adv Respir Dis. 2017;11(4). doi:10.1177/1753465816687518.",Current treatment of tracheoesophageal fistula,Ther Adv Respir Dis,2017,11,4,,10.1177/1753465816687518,28391759,Zhou C; Hu Y; Xiao Y; Yin W
26,"Herth FJ, Peter S, Baty F, Eberhardt R, Leuppi JD, Chhajed PN. Combined airway and oesophageal stenting in malignant airway-oesophageal fistulas: a prospective study. Eur Respir J. 2010;36(6). doi:10.1183/09031936.00049809.",Combined airway and oesophageal stenting in malignant airway-oesophageal fistulas: a prospective study,Eur Respir J,2010,36,6,,10.1183/09031936.00049809,20525708,Herth FJ; Peter S; Baty F; Eberhardt R; Leuppi JD; Chhajed PN
27,"Avasarala SK, Freitag L, Mehta AC. Metallic endobronchial stents: a contemporary resurrection. Chest. 2018;155(6). doi:10.1016/j.chest.2018.12.001.",Metallic endobronchial stents: a contemporary resurrection,Chest,2018,155,6,,10.1016/j.chest.2018.12.001,30550877,Avasarala SK; Freitag L; Mehta AC
28,"Flannery A, Daneshvar C, Dutau H, Breen D. The art of rigid bronchoscopy and airway stenting. Clin Chest Med. 2018;39(1). doi:10.1016/j.ccm.2017.11.011.",The art of rigid bronchoscopy and airway stenting,Clin Chest Med,2018,39,1,,10.1016/j.ccm.2017.11.011,29433711,Flannery A; Daneshvar C; Dutau H; Breen D
29,Kang Y. A review of self-expanding esophageal stents for the palliation therapy of inoperable esophageal malignancies. Biomed Res Int. 2019;None:9265017. doi:10.1155/2019/9265017.,A review of self-expanding esophageal stents for the palliation therapy of inoperable esophageal malignancies,Biomed Res Int,2019,,,9265017,10.1155/2019/9265017,31080835,Kang Y
30,"Ke M, Wu X, Zeng J. The treatment strategy for tracheoesophageal fistula. J Thorac Dis. 2015;7(Suppl 4). doi:10.3978/j.issn.2072-1439.2015.12.11.",The treatment strategy for tracheoesophageal fistula,J Thorac Dis,2015,7,Suppl 4,,10.3978/j.issn.2072-1439.2015.12.11,26807286,Ke M; Wu X; Zeng J
31,"Sharma M, Somani P, Sunkara T, Prajapati R. Trans-Tracheal Cyanoacrylate Glue Injection for the Management of Malignant Tracheoesophageal Fistula. Am J Gastroenterol. 2018;113(6):800. doi:10.1038/s41395-018-0105-9.",Trans-Tracheal Cyanoacrylate Glue Injection for the Management of Malignant Tracheoesophageal Fistula,Am J Gastroenterol,2018,113,6,800,10.1038/s41395-018-0105-9,29941936,Sharma M; Somani P; Sunkara T; Prajapati R
32,"Pinto V, Morselli PG, Sciarretta V, Piccin O. Autologous plateletrich fibrin: a novel method for tracheoesophageal puncture site closure: a case report. J Wound Care. 2021;30(3). doi:10.12968/jowc.2021.30.3.234.",Autologous plateletrich fibrin: a novel method for tracheoesophageal puncture site closure: a case report,J Wound Care,2021,30,3,,10.12968/jowc.2021.30.3.234,,Pinto V; Morselli PG; Sciarretta V; Piccin O
33,"Matusov Y, MD, Deboard Z et al.. Tracheopleural Fistula Treated With Endobronchial Fibrin and 2-Octylcyanoacrylate (Dermabond). Chest J. 2016;150(4):1029A.",Tracheopleural Fistula Treated With Endobronchial Fibrin and 2-Octylcyanoacrylate (Dermabond),Chest J,2016,150,4,1029A,,,Matusov Y; MD; Deboard Z; MD; West P; MD; Sager J; MD
34,"Koo JH, Park KB, Choo SW, Kim K, Do YS. Embolization of postsurgical esophagopleural fistula with AMPLATZER vascular plug, coils, and Histoacryl glue. J Vasc Interv Radiol. 2010;21(12). doi:10.1016/j.jvir.2010.09.004.","Embolization of postsurgical esophagopleural fistula with AMPLATZER vascular plug, coils, and Histoacryl glue",J Vasc Interv Radiol,2010,21,12,,10.1016/j.jvir.2010.09.004,21111367,Koo JH; Park KB; Choo SW; Kim K; Do YS
35,"Erdim I, Sirin AA, Baykal B, Oghan F, Guvey A, Kayhan FT. Treatment of large persistent tracheoesophageal peristomal fistulas using silicon rings. Braz J Otorhinolaryngol. 2016;83(5). doi:10.1016/j.bjorl.2016.06.011.",Treatment of large persistent tracheoesophageal peristomal fistulas using silicon rings,Braz J Otorhinolaryngol,2016,83,5,,10.1016/j.bjorl.2016.06.011,27472983,Erdim I; Sirin AA; Baykal B; Oghan F; Guvey A; Kayhan FT
36,"Mirza S, Head M, Robson A, Mirza S, Head M, Robson AK. Silicone septal button in the management of a large tracheo-oesophageal fistula following primary puncture in a laryngectomee. ORL J Otorhinolaryngol Relat Spec. 2003;65(2). doi:10.1159/000070779.",Silicone septal button in the management of a large tracheo-oesophageal fistula following primary puncture in a laryngectomee,ORL J Otorhinolaryngol Relat Spec,2003,65,2,,10.1159/000070779,12824737,Mirza S; Head M; Robson A; Mirza S; Head M; Robson AK
37,"Li J, Gao X, Chen J, Lao M, Wang S, Zeng G. Endoscopic closure of acquired oesophagorespiratory fistulas with cardiac septal defect occluders or vascular plugs. Respir Med. 2015;109(8). doi:10.1016/j.rmed.2015.04.014.",Endoscopic closure of acquired oesophagorespiratory fistulas with cardiac septal defect occluders or vascular plugs,Respir Med,2015,109,8,,10.1016/j.rmed.2015.04.014,,Li J; Gao X; Chen J; Lao M; Wang S; Zeng G
38,"Rabenstein T, Boosfeld C, Henrich R, Ell C. First use of ventricular septal defect occlusion device for endoscopic closure of an esophagorespiratory fistula using bronchoscopy and esophagoscopy. Chest. 2006;130(3). doi:10.1378/chest.130.3.906.",First use of ventricular septal defect occlusion device for endoscopic closure of an esophagorespiratory fistula using bronchoscopy and esophagoscopy,Chest,2006,130,3,,10.1378/chest.130.3.906,,Rabenstein T; Boosfeld C; Henrich R; Ell C
39,"Coppola F, Boccuzzi G, Rossi G, Gaia S, Cosimato M, Recchia S. Cardiac septal umbrella for closure of a tracheoesophageal fistula. Endoscopy. 2010;42(Suppl 2). doi:10.1055/s-0030-1255822.",Cardiac septal umbrella for closure of a tracheoesophageal fistula,Endoscopy,2010,42,Suppl 2,,10.1055/s-0030-1255822,21113890,Coppola F; Boccuzzi G; Rossi G; Gaia S; Cosimato M; Recchia S
